symbol,company_name,sector,industry,isin,market_cap_category,nifty50,nifty_next50,listing_status
TARIL,Transformers And Rectifiers (India) Ltd,Capital Goods,Capital Goods,INE763I01026,Small Cap,false,false,Listed
TARMAT,Tarmat Ltd,Unknown,Unknown,INE924H01018,Unknown,false,false,Listed
TARSONS,Tarsons Products Ltd,Unknown,Unknown,INE144Z01023,Unknown,false,false,Listed
TASTYBITE,Tasty Bite Eatables Ltd,Unknown,Unknown,INE488B01017,Unknown,false,false,Listed
TATACAP,Tata Capital Ltd,Financial Services,Financial Services,INE976I01016,Large Cap,false,true,Listed
TATACHEM,Tata Chemicals Ltd,Chemicals,Chemicals,INE092A01019,Small Cap,false,false,Listed
TATACOMM,Tata Communications Ltd,Telecommunication,Telecommunication,INE151A01013,Mid Cap,false,false,Listed
TATACONSUM,TATA CONSUMER PRODUCTS Ltd,Fast Moving Consumer Goods,Fast Moving Consumer Goods,INE192A01025,Large Cap,true,false,Listed
TATAELXSI,Tata Elxsi Ltd,Information Technology,Information Technology,INE670A01012,Mid Cap,false,false,Listed
TATAINVEST,Tata Investment Corporation Ltd,Financial Services,Financial Services,INE672A01026,Mid Cap,false,false,Listed
TATAPOWER,Tata Power Company Ltd,Power,Power,INE245A01021,Large Cap,false,true,Listed
TATASTEEL,Tata Steel Ltd,Metals & Mining,Metals & Mining,INE081A01020,Large Cap,true,false,Listed
TATATECH,Tata Technologies Ltd,Information Technology,Information Technology,INE142M01025,Small Cap,false,false,Listed
TATVA,Tatva Chintan Pharma Chem Ltd,Unknown,Unknown,INE0GK401011,Unknown,false,false,Listed
TBOTEK,TBO Tek Ltd,Consumer Services,Consumer Services,INE673O01025,Small Cap,false,false,Listed
TBZ,Tribhovandas Bhimji Zaveri Ltd,Unknown,Unknown,INE760L01018,Unknown,false,false,Listed
TCC,TCC Concept Ltd,Unknown,Unknown,INE887D01016,Unknown,false,false,Listed
TCI,Transport Corporation of India Ltd,Unknown,Unknown,INE688A01022,Unknown,false,false,Listed
TCIEXP,TCI Express Ltd,Unknown,Unknown,INE586V01016,Unknown,false,false,Listed
TCPLPACK,TCPL Packaging Ltd,Unknown,Unknown,INE822C01015,Unknown,false,false,Listed
TCS,Tata Consultancy Services Ltd,Information Technology,Information Technology,INE467B01029,Large Cap,true,false,Listed
TDPOWERSYS,TD Power Systems Ltd,Capital Goods,Capital Goods,INE419M01027,Micro Cap,false,false,Listed
TEAMGTY,Team India Guaranty Ltd,Unknown,Unknown,INE289C01025,Unknown,false,false,Listed
TEAMLEASE,Teamlease Services Ltd,Unknown,Unknown,INE985S01024,Unknown,false,false,Listed
TECHM,Tech Mahindra Ltd,Information Technology,Information Technology,INE669C01036,Large Cap,true,false,Listed
TECHNOE,Techno Electric & Engineering Company Ltd,Construction,Construction,INE285K01026,Small Cap,false,false,Listed
TECHNVISN,TechNVision Ventures Ltd,Unknown,Unknown,INE314H01012,Unknown,false,false,Listed
TECILCHEM,TECIL Chemicals and Hydro Power Ltd,Unknown,Unknown,INE014B01011,Unknown,false,false,Listed
TEGA,Tega Industries Ltd,Capital Goods,Capital Goods,INE011K01018,Small Cap,false,false,Listed
TEJASNET,Tejas Networks Ltd,Telecommunication,Telecommunication,INE010J01012,Small Cap,false,false,Listed
TEMBO,Tembo Global Industries Ltd,Unknown,Unknown,INE869Y01010,Unknown,false,false,Listed
TENNIND,Tenneco Clean Air India Ltd,Automobile and Auto Components,Automobile and Auto Components,INE19RI01016,Small Cap,false,false,Listed
TERASOFT,Tera Software Ltd,Unknown,Unknown,INE482B01010,Unknown,false,false,Listed
TEXINFRA,Texmaco Infrastructure & Holdings Ltd,Unknown,Unknown,INE435C01024,Unknown,false,false,Listed
TEXMOPIPES,Texmo Pipes and Products Ltd,Unknown,Unknown,INE141K01013,Unknown,false,false,Listed
TEXRAIL,Texmaco Rail & Engineering Ltd,Capital Goods,Capital Goods,INE621L01012,Micro Cap,false,false,Listed
TFCILTD,Tourism Finance Corporation of India Ltd,Unknown,Unknown,INE305A01023,Unknown,false,false,Listed
TFL,Transwarranty Finance Ltd,Unknown,Unknown,INE804H01012,Unknown,false,false,Listed
TGBHOTELS,TGB Banquets And Hotels Ltd,Unknown,Unknown,INE797H01018,Unknown,false,false,Listed
THAKDEV,Thakkers Developers Ltd,Unknown,Unknown,INE403F01017,Unknown,false,false,Listed
THANGAMAYL,Thangamayil Jewellery Ltd,Consumer Durables,Consumer Durables,INE085J01014,Micro Cap,false,false,Listed
THEINVEST,The Investment Trust Of India Ltd,Unknown,Unknown,INE924D01017,Unknown,false,false,Listed
THEJO,Thejo Engineering Ltd,Unknown,Unknown,INE121N01019,Unknown,false,false,Listed
THELEELA,Leela Palaces Hotels & Resorts Ltd,Consumer Services,Consumer Services,INE0AQ201015,Small Cap,false,false,Listed
THEMISMED,Themis Medicare Ltd,Unknown,Unknown,INE083B01024,Unknown,false,false,Listed
THERMAX,Thermax Ltd,Capital Goods,Capital Goods,INE152A01029,Mid Cap,false,false,Listed
THOMASCOOK,Thomas Cook (India) Ltd,Consumer Services,Consumer Services,INE332A01027,Micro Cap,false,false,Listed
